Nome,ticker,valor
Moura Dubeux,mdne3,https://www.statusinvest.com.br
Eletrobras,elet6,https://www.eletrobras.com
Banrisul,brsr6,https://www.banrisul.com.br
Sanepar,sapr11,https://www.sanepar.com.br
IMC Alimentação,meal3,https://www.internationalmealcompany.com
Grupo SBF,sbfg3,https://www.gruposbf.com.br
Mills,mils3,https://www.mills.com.br
Kepler Weber,kepl3,https://www.kepler.com.br
Camil Alimentos,caml3,https://www.camilalimentos.com.br
Alupar,alup11,https://www.alupar.com.br
Alpargatas,alpa4,https://www.alpargatas.com.br
Multilaser,mlas3,https://www.multilaser.com.br
Viveo,vveo3,https://www.conteudos.xpi.com.br
Positivo,posi3,https://www.positivoinformatica.com.br
Pague Menos,pgmn3,https://www.paguemenos.com.br
Irani,rani3,https://www.irani.com.br
Iochpe-Maxion,mypk3,https://www.iochpe.com.br
Jalles Machado,jall3,https://www.statusinvest.com.br
Blau Farmacêutica,blau3,https://www.blau.com
Espaçolaser,espa3,https://www.espacolaser.com.br
Priner,prnr3,https://www.priner.com.br
Melnick,melk3,https://www.melnick.com.br
Mitre Realty,mtre3,https://www.mitrerealty.com.br
Itaú Unibanco,itub3,https://www.itau.com.br
Ser Educacional,seer3,https://www.sereducacional.com
IRB Brasil RE,irbr3,https://www.irbre.com
Banco ABC Brasil,abcb4,https://www.abcbrasil.com.br
Vulcabras,vulc3,https://www.vulcabrasazaleia.com.br
Cruzeiro do Sul Educacional,csed3,https://www.cruzeirodosuleducacional.com.br
Ferbasa,fesa4,https://www.ferbasa.com.br
Schulz,shul4,https://www.schulzsa.com
Sequoia Logística,seql3,https://www.sequoialog.com.br
Usiminas,usim3,https://www.usiminas.com
Guararapes,guar3,https://www.infomoney.com.br
Dasa,dasa3,https://www.dasa3.com.br
Orizon,orvr3,https://www.infomoney.com.br
Tupy,tupy3,https://www.tupy.com.br
Mater Dei,matd3,https://www.infomoney.com.br
Dimed,pnvl3,https://www.panvel.com.br
Wilson Sons,port3,https://www.statusinvest.com.br
SYN,syne3,https://www.ccpsa.com.br
Even,even3,https://www.even.com.br
Banco BMG,bmgb4,https://www.bancobmg.com.br
Unifique,fiqe3,https://www.unifique.com.br
Tegma,tgma3,https://www.tegma.com.br
Brisanet,brst3,https://www.brisanet.com.br
Trisul,tris3,https://www.trisul-sa.com.br
JSL,jslg3,https://www.jsl.com.br
Track & Field,tfco4,https://www.statusinvest.com.br
HBR Realty,hbre3,https://www.hbrrealty.com.br
Valid,vlid3,https://www.valid.com.br
Eternit,eter3,https://www.eternit.com.br
Klabin,klbn3,https://www.klabin.com.br
Portobello,ptbl3,https://www.portobello.com.br
Wiz Soluções,wizc3,https://www.wizsolucoes.com.br
Lavvi Incorporadora,lavv3,https://www.lavvi.com.br
BR Partners,brbi11,https://www.investidor10.com.br
Gafisa,gfsa3,https://www.gafisa.com.br
Taurus,tasa4,https://www.taurus.com.br
Sanepar,sapr3,https://www.sanepar.com.br
Mahle Metal Leve,leve3,https://www.mahle.com.br
Technos,tecn3,https://www.statusinvest.com.br
OceanPact,opct3,https://www.statusinvest.com.br
Itaúsa,itsa3,https://www.itausa.com.br
Marcopolo,pomo3,https://www.marcopolo.com.br
Vittia,vitt3,https://www.statusinvest.com.br
Paranapanema,pmam3,https://www.paranapanema.com.br
Cemig,cmig3,https://www.cemig.com.br
Banco Pine,pine4,https://www.pine.com
BrasilAgro,agro3,https://www.brasil-agro.com
Fras-le,fras3,https://www.fras-le.com.br
LOG CP,logg3,https://www.logcp.com.br
Profarma,pfrm3,https://www.profarma.com.br
Zamp,zamp3,https://www.zamp.com.br
Fertilizantes Heringer,fher3,https://www.heringer.com.br
Lopes,lpsb3,https://www.lopes.com.br
Desktop,desk3,https://www.google.com
Alliança,aalr3,https://www.allianca.com
Estapar,alpk3,https://www.infomoney.com.br
Tecnisa,tcsa3,https://www.tecnisa.com.br
VITRUBREPCOM,vtru3,https://www.investors.vitru.com.br
Braskem,brkm3,https://www.google.com
Taesa,taee4,https://www.taesa.com.br
Recrusul,rcsl3,https://www.recrusul.com.br
Unipar,unip6,https://www.unipar.com
Indústrias ROMI,romi3,https://www.romi.com
Lupatech,lupa3,https://www.lupatech.com.br
Inepar,inep4,https://www.inepar.com.br
Ambipar,ambp3,https://www.moneytimes.com.br
Aeris Energy,aeri3,https://www.aerisenergy.com.br
Banco Santander,sanb3,https://www.santander.com.br
Banco Santander,sanb4,https://www.santander.com.br
Dexxos,dexp3,https://www.dexxos.com.br
Automob,amob3,https://www.automob.com.br
Taesa,taee3,https://www.taesa.com.br
D1000 Varejo Farma,dmvf3,https://www.statusinvest.com.br
Lojas Marisa,amar3,https://www.marisa.com.br
Eucatex,euca4,https://www.eucatex.com.br
Bradespar,brap3,https://www.bradespar.com.br
Viver,vivr3,https://www.viver.com.br
CSU Cardsystem,csud3,https://www.csu.com.br
Time For Fun,show3,https://www.t4f.com.br
Allied,alld3,https://www.statusinvest.com.br
Renova Energia,rnew3,https://www.investidor10.com.br
Traders Club,trad3,https://www.infomoney.com.br
Oi,oibr4,https://www.oi.com.br
Inepar,inep3,https://www.inepar.com.br
Cambuci,camb3,https://www.infomoney.com.br
Metalúrgica Gerdau,goau3,https://www.gerdau.com
Triunfo,tpis3,https://www.triunfo.com
Biomm,biom3,https://www.biomm.com
Terra Santa,land3,https://www.terrasantapa.com.br
Energisa,engi3,https://www.energisa.com.br
Fictor Alimentos,fict3,https://www.fictoralimentos.com.br
Coelce,coce5,https://www.eneldistribuicao.com.br
Dotz,dotz3,https://www.infomoney.com.br
WDC Networks,lvtc3,https://www.google.com
Banco Mercantil do Brasil,bmeb4,https://www.mercantildobrasil.com.br
Electro Aço Altona,ealt4,https://www.altona.com.br
LE LIS BLANC,vste3,https://www.lelis.com.br
Unicasa,ucas3,https://www.unicasamoveis.com.br
AgroGalaxy,agxy3,https://www.infomoney.com.br
Alupar,alup4,https://www.alupar.com.br
Gerdau,ggbr3,https://www.gerdau.com
EMAE,emae4,https://www.emae.com.br
São Carlos,scar3,https://www.scsa.com.br
Renova Energia,rnew4,https://www.investidor10.com.br
ISA Energia,isae3,https://www.isaenergiabrasil.com.br
Westwing,west3,https://www.infomoney.com.br
CEB,cebr6,https://www.ceb.com.br
Banco Pine,pine3,https://www.pine.com
João Fortes,jfen3,https://www.joaofortes.com.br
Whirlpool,whrl4,https://www.whirlpool.com.br
Whirlpool,whrl3,https://www.whirlpool.com.br
Bombril,bobr4,https://www.bombril.com.br
CEB,cebr3,https://www.ceb.com.br
